2019-20 Class Size by Gender and Selected Population ,,,,,,,,,
District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Dennis-Yarmouth,06450000,"   1,373",  14.7,"      2,893",  48.8,  51.2,  11.6,  18.1,  44.4
Dighton-Rehoboth,06500000,"   1,430",  19.5,"      2,850",  48.7,  51.3,    .4,  15.0,  16.1
Douglas,00770000,     570,  17.3,"      1,276",  48.3,  51.7,   1.1,  17.8,  17.3
Dover,00780000,     176,  19.6,        500,  42.6,  57.4,   4.8,  13.8,   2.0
Dover-Sherborn,06550000,     657,  17.7,"      1,195",  48.5,  51.5,    .8,  14.8,   3.2
Dracut,00790000,"   1,623",  20.5,"      3,723",  48.0,  51.8,   2.2,  16.2,  25.6
Dudley Street Neighborhood Charter School (District),04070000,      38,  18.7,        264,  53.4,  46.6,  39.8,  14.8,  65.2
Dudley-Charlton Reg,06580000,"   1,651",  18.9,"      3,735",  49.0,  50.9,   3.0,  15.8,  23.2
Duxbury,00820000,"   1,516",  19.0,"      2,991",  49.1,  50.9,    .4,  14.7,   6.3
East Bridgewater,00830000,"   1,043",  20.6,"      2,227",  48.7,  51.3,    .8,  16.8,  19.4
East Longmeadow,00870000,"   1,114",  17.8,"      2,586",  47.6,  52.4,   1.6,  18.3,  20.4
Eastham,00850000,     135,  13.8,        202,  48.0,  52.0,   3.5,  20.3,  34.2
Easthampton,00860000,     534,  18.0,"      1,552",  49.2,  50.7,   2.5,  19.5,  33.9
Easton,00880000,"   1,308",  19.4,"      3,625",  48.7,  51.3,   1.9,  18.5,  15.5
Edgartown,00890000,     278,  17.8,        407,  51.1,  48.9,  24.1,  22.9,  36.1
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,     197,  17.8,        374,  65.8,  34.2,  11.5,  19.8,  66.8
Erving,00910000,      59,  15.5,        131,  41.2,  58.8,   1.5,  20.6,  32.1
Essex North Shore Agricultural and Technical School District,08170000,     952,  17.2,"      1,486",  58.0,  41.9,    .3,  16.1,  17.3
Everett,00930000,"   3,632",  20.2,"      7,319",  49.2,  50.8,  29.0,  16.8,  56.2
Excel Academy Charter (District),04100000,     468,  23.6,"      1,354",  50.2,  49.8,   8.8,  20.4,  48.7
Fairhaven,00940000,"   1,054",  17.8,"      2,049",  50.2,  49.8,   1.8,  17.7,  29.2
Fall River,00950000,"   4,574",  18.9,"     10,657",  48.7,  51.2,  18.4,  21.3,  70.7
Falmouth,00960000,"   1,735",  16.3,"      3,278",  48.2,  51.7,   4.5,  18.1,  30.8
Farmington River Reg,06620000,      77,  12.7,        113,  44.3,  55.8,    .0,  20.4,  33.6
Fitchburg,00970000,"   2,629",  18.5,"      5,517",  47.4,  52.6,  16.3,  20.6,  63.0
Florida,00980000,      82,   9.8,         95,  48.4,  51.6,    .0,  21.1,  24.2
Four Rivers Charter Public (District),04130000,     195,  14.9,        180,  53.9,  45.6,    .0,  13.9,  24.4
Foxborough,00990000,"   1,432",  17.0,"      2,567",  48.1,  51.9,   2.1,  20.0,  16.9
Foxborough Regional Charter (District),04460000,     670,  21.1,"      1,660",  52.1,  48.0,   7.5,  10.0,  26.6
Framingham,01000000,"   5,476",  15.6,"      9,351",  48.8,  51.1,  26.6,  20.8,  42.3
Francis W. Parker Charter Essential (District),04780000,     240,  17.8,        396,  52.8,  46.5,    .0,  15.4,   7.8
Franklin,01010000,"   2,547",  17.3,"      5,103",  48.0,  52.0,   1.0,  17.7,  10.4
